city_id,City,Country,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
307,lompoc,US,1,87,34.6391,-120.4579,50.0,11.5
308,cocobeach,GA,75,94,1.0002,9.5823,77.0,4.61
309,villazon,BO,3,27,-22.0866,-65.5942,46.2,2.37
310,ajdabiya,LY,44,14,30.7554,20.2263,85.73,10.58
311,englewood,US,90,93,39.6478,-104.9878,48.0,8.05
312,dolores,AR,69,95,-36.3132,-57.6792,62.04,6.55
313,tongzi,CN,100,88,28.7829,105.0877,68.54,1.92
314,san quintin,MX,35,75,30.4833,-115.95,59.0,13.11
315,natchitoches,US,40,100,31.7668,-93.1335,69.8,6.91
316,santa maria la alta,MX,50,51,18.6,-97.6667,68.63,5.75
317,bac lieu,VN,41,53,9.285,105.7244,90.86,17.85
318,bonfim,BR,93,91,3.0833,-59.95,74.16,1.86
319,forestville,US,1,52,38.8451,-76.875,71.6,8.05
320,biak,ID,32,70,-0.9131,122.8766,82.63,6.35
321,paris,FR,0,87,48.8534,2.3488,42.01,2.3
322,saint-ambroise,CA,33,60,48.5501,-71.3324,34.0,10.36
323,port blair,IN,40,74,11.6667,92.75,89.6,9.22
324,mumford,GH,100,87,5.2618,-0.759,80.19,10.69
325,huaiyuan,CN,97,52,32.973,117.1995,78.71,9.62
326,vao,NC,69,75,-22.6667,167.4833,74.48,21.9
327,druzhba,UA,82,93,52.0428,33.9453,54.99,13.31
328,ola,RU,20,58,59.5833,151.2833,39.6,8.84
329,pandan,PH,23,78,14.0453,124.1694,83.35,12.44
330,deputatskiy,RU,100,99,69.3,139.9,30.74,3.06
331,yucca valley,US,0,26,34.1142,-116.4322,64.99,7.0
332,kloulklubed,PW,75,74,7.0419,134.2556,86.0,12.66
333,maturin,VE,99,90,9.75,-63.1767,74.12,3.31
334,salalah,OM,75,79,17.0151,54.0924,86.0,5.75
335,wajir,KE,40,88,1.7471,40.0573,77.0,13.51
336,shouguang,CN,100,31,36.88,118.7375,68.97,12.75
337,sao filipe,CV,8,71,14.8961,-24.4956,70.38,11.48
